標題,來源,日期,網址
《資訊服務》資通ciMes好口碑 成功導入Gogoro,Yahoo奇摩股市,2020年11月25日,https://tw.stock.yahoo.com/news/%E8%B3%87%E8%A8%8A%E6%9C%8D%E5%8B%99-%E8%B3%87%E9%80%9Acimes%E5%A5%BD%E5%8F%A3%E7%A2%91-%E6%88%90%E5%8A%9F%E5%B0%8E%E5%85%A5gogoro-002618948.html
資策會攜手戴爾組數據優先聯盟 打造台灣生態系,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E8%B3%87%E7%AD%96%E6%9C%83%E6%94%9C%E6%89%8B%E6%88%B4%E7%88%BE%E7%B5%84%E6%95%B8%E6%93%9A%E5%84%AA%E5%85%88%E8%81%AF%E7%9B%9F-%E6%89%93%E9%80%A0%E5%8F%B0%E7%81%A3%E7%94%9F%E6%85%8B%E7%B3%BB-091303363.html
券商晨訊台股投資組合建議 (1) 2020年12月 8日,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E5%88%B8%E5%95%86%E6%99%A8%E8%A8%8A%E5%8F%B0%E8%82%A1%E6%8A%95%E8%B3%87%E7%B5%84%E5%90%88%E5%BB%BA%E8%AD%B0-1-2020%E5%B9%B412%E6%9C%88-8%E6%97%A5-010113482.html
《經濟》11月出口319.9億美元 創次高,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E7%B6%93%E6%BF%9F-11%E6%9C%88%E5%87%BA%E5%8F%A3319-9%E5%84%84%E7%BE%8E%E5%85%83-%E5%89%B5%E6%AC%A1%E9%AB%98-080631659.html
台灣「牛轉乾坤」？只有半導體OK 百業仍蕭條,Yahoo奇摩股市,2020年12月6日,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%81%A3-%E7%89%9B%E8%BD%89%E4%B9%BE%E5%9D%A4-%E5%8F%AA%E6%9C%89%E5%8D%8A%E5%B0%8E%E9%AB%94ok-%E7%99%BE%E6%A5%AD%E4%BB%8D%E8%95%AD%E6%A2%9D-070012456.html
《電機股》亞德客-KY11月營收衝上史上次高,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E9%9B%BB%E6%A9%9F%E8%82%A1-%E4%BA%9E%E5%BE%B7%E5%AE%A2-ky11%E6%9C%88%E7%87%9F%E6%94%B6%E8%A1%9D%E4%B8%8A%E5%8F%B2%E4%B8%8A%E6%AC%A1%E9%AB%98-233746775.html
第四季出口史上最旺！ 財政部直言始料未及推估全年總出口將創歷史新高,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E7%AC%AC%E5%9B%9B%E5%AD%A3%E5%87%BA%E5%8F%A3%E5%8F%B2%E4%B8%8A%E6%9C%80%E6%97%BA-%E8%B2%A1%E6%94%BF%E9%83%A8%E7%9B%B4%E8%A8%80%E5%A7%8B%E6%96%99%E6%9C%AA%E5%8F%8A%E6%8E%A8%E4%BC%B0%E5%85%A8%E5%B9%B4%E7%B8%BD%E5%87%BA%E5%8F%A3%E5%B0%87%E5%89%B5%E6%AD%B7%E5%8F%B2%E6%96%B0%E9%AB%98-090325192.html
【統一證券晨訊】BV行情延燒 積極偏多操作,Yahoo奇摩股市,2020年12月8日,https://tw.stock.yahoo.com/news/%E7%B5%B1-%E8%AD%89%E5%88%B8%E6%99%A8%E8%A8%8A-bv%E8%A1%8C%E6%83%85%E5%BB%B6%E7%87%92-%E7%A9%8D%E6%A5%B5%E5%81%8F%E5%A4%9A%E6%93%8D%E4%BD%9C-003913129.html
防駭客推乾淨網路 資安標章首納智慧手機內建軟體,Yahoo奇摩新聞,2020年12月2日,https://tw.stock.yahoo.com/news/%E9%98%B2%E9%A7%AD%E5%AE%A2%E6%8E%A8%E4%B9%BE%E6%B7%A8%E7%B6%B2%E8%B7%AF-%E8%B3%87%E5%AE%89%E6%A8%99%E7%AB%A0%E9%A6%96%E7%B4%8D%E6%99%BA%E6%85%A7%E6%89%8B%E6%A9%9F%E5%85%A7%E5%BB%BA%E8%BB%9F%E9%AB%94-072310968.html
央行：新台幣匯率沒有太強 主要反映出口成績,Yahoo奇摩股市,2020年11月25日,https://tw.stock.yahoo.com/news/%E5%A4%AE%E8%A1%8C-%E6%96%B0%E5%8F%B0%E5%B9%A3%E5%8C%AF%E7%8E%87%E6%B2%92%E6%9C%89%E5%A4%AA%E5%BC%B7-%E4%B8%BB%E8%A6%81%E5%8F%8D%E6%98%A0%E5%87%BA%E5%8F%A3%E6%88%90%E7%B8%BE-024333778.html
資安、個資保護 行政院：由數位發展部主責,Yahoo奇摩新聞,2020年11月25日,https://tw.stock.yahoo.com/news/%E8%B3%87%E5%AE%89-%E5%80%8B%E8%B3%87%E4%BF%9D%E8%AD%B7-%E8%A1%8C%E6%94%BF%E9%99%A2-%E7%94%B1%E6%95%B8%E4%BD%8D%E7%99%BC%E5%B1%95%E9%83%A8%E4%B8%BB%E8%B2%AC-060850880.html
【公告】廣豐於109年12月8日召開線上法人說明會,Yahoo奇摩股市,2020年12月7日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E5%BB%A3%E8%B1%90%E6%96%BC109%E5%B9%B412%E6%9C%888%E6%97%A5%E5%8F%AC%E9%96%8B%E7%B7%9A%E4%B8%8A%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83-055302956.html
【公告】福興將受邀參加富邦證券12/17舉辦之法人說明會,Yahoo奇摩理財,2020年12月7日,https://tw.stock.yahoo.com/news/%E5%85%AC%E5%91%8A-%E7%A6%8F%E8%88%88%E5%B0%87%E5%8F%97%E9%82%80%E5%8F%83%E5%8A%A0%E5%AF%8C%E9%82%A6%E8%AD%89%E5%88%B812-17%E8%88%89%E8%BE%A6%E4%B9%8B%E6%B3%95%E4%BA%BA%E8%AA%AA%E6%98%8E%E6%9C%83-070209617.html
《台北股市》索尼PS5熱銷 台達電、新唐權證沾光,Yahoo奇摩股市,2020年12月2日,https://tw.stock.yahoo.com/news/%E5%8F%B0%E5%8C%97%E8%82%A1%E5%B8%82-%E7%B4%A2%E5%B0%BCps5%E7%86%B1%E9%8A%B7-%E5%8F%B0%E9%81%94%E9%9B%BB-%E6%96%B0%E5%94%90%E6%AC%8A%E8%AD%89%E6%B2%BE%E5%85%89-004610158.html
股市創新高 台幣飆23年紀錄,Yahoo奇摩股市,2020年12月5日,https://tw.stock.yahoo.com/news/%E8%82%A1%E5%B8%82%E5%89%B5%E6%96%B0%E9%AB%98-%E5%8F%B0%E5%B9%A3%E9%A3%8623%E5%B9%B4%E7%B4%80%E9%8C%84-201000649.html?bcmt=1
